                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.90165,                0.46586,                 1.1498,                0.82294,                0.99374,                 0.8542,                0.68132,                0.86391,                0.71496,                 1.1741,               0.008878,               0.008878,               0.008878
                     37,                0.88674,                0.46254,                 1.1473,                0.82401,                  0.998,                0.84411,                0.66436,                0.88947,                0.73963,                 1.2006,               0.008845,               0.008845,               0.008845
                     38,                0.88884,                0.45928,                 1.1425,                0.82056,                0.96238,                0.85079,                0.67341,                0.88871,                0.68898,                 1.1785,               0.008812,               0.008812,               0.008812
                     39,                0.89628,                0.45888,                 1.1328,                 0.8261,                0.92856,                0.85617,                0.68804,                0.86622,                0.62524,                 1.1604,               0.008779,               0.008779,               0.008779
                     40,                 0.8864,                0.45229,                 1.1383,                0.82753,                0.99546,                0.84619,                 0.6714,                0.86881,                0.72066,                 1.1669,               0.008746,               0.008746,               0.008746
                     41,                0.88419,                0.45572,                 1.1266,                0.82125,                0.99694,                0.84317,                0.66841,                0.86296,                0.67177,                 1.1741,               0.008713,               0.008713,               0.008713
                     42,                0.87267,                0.44045,                 1.1314,                0.82199,                0.99634,                0.84261,                0.66549,                0.85652,                0.66864,                  1.173,                0.00868,                0.00868,                0.00868
                     43,                0.88663,                0.45247,                 1.1409,                0.81858,                0.99654,                0.83861,                0.66196,                0.85023,                0.62006,                  1.147,               0.008647,               0.008647,               0.008647
                     44,                0.87829,                0.44478,                 1.1328,                0.82615,                  0.998,                0.84651,                0.67307,                0.87631,                0.66986,                  1.193,               0.008614,               0.008614,               0.008614
                     45,                0.87098,                0.43403,                 1.1313,                0.82124,                0.99562,                 0.8478,                0.67618,                0.86501,                0.64925,                 1.1722,               0.008581,               0.008581,               0.008581
                     46,                 0.8736,                0.43872,                 1.1304,                0.82504,                0.99847,                0.85163,                0.68004,                0.86558,                0.65338,                 1.1627,               0.008548,               0.008548,               0.008548
                     47,                0.87445,                0.43874,                 1.1268,                0.82594,                  0.998,                0.84179,                0.67514,                0.85996,                0.67844,                 1.1606,               0.008515,               0.008515,               0.008515
                     48,                 0.8743,                0.43496,                 1.1314,                0.82588,                0.99612,                0.86317,                0.69247,                0.87028,                0.68752,                 1.1581,               0.008482,               0.008482,               0.008482
                     49,                 0.8753,                0.44089,                 1.1235,                0.82367,                  0.998,                0.85993,                0.69233,                0.85505,                0.68618,                  1.152,               0.008449,               0.008449,               0.008449
                     50,                0.86953,                0.42922,                 1.1258,                 0.8273,                  0.998,                0.84126,                0.67868,                0.85958,                0.63061,                 1.1527,               0.008416,               0.008416,               0.008416
                     51,                0.87007,                0.43771,                 1.1238,                0.82325,                0.99758,                 0.8391,                 0.6761,                0.84847,                0.62789,                 1.1782,               0.008383,               0.008383,               0.008383
                     52,                0.87409,                0.44221,                  1.128,                 0.8179,                0.99724,                0.83786,                0.67329,                0.84223,                0.66685,                 1.1451,                0.00835,                0.00835,                0.00835
                     53,                0.86921,                0.44067,                 1.1173,                0.82616,                0.99765,                0.84035,                0.67438,                0.85703,                0.71646,                 1.1371,               0.008317,               0.008317,               0.008317
                     54,                0.85935,                0.43474,                 1.1056,                0.82082,                  0.998,                0.84012,                0.67546,                0.85373,                0.62877,                 1.1409,               0.008284,               0.008284,               0.008284
                     55,                0.86049,                0.43278,                 1.1068,                 0.8239,                0.99639,                0.85778,                0.69017,                0.85283,                 0.6739,                 1.1343,               0.008251,               0.008251,               0.008251
                     56,                0.85444,                0.42232,                 1.1102,                0.82276,                  0.998,                0.84587,                 0.6806,                0.86569,                0.65967,                 1.1574,               0.008218,               0.008218,               0.008218
                     57,                0.85846,                 0.4292,                 1.1021,                0.82471,                  0.998,                0.84593,                0.68043,                0.85438,                0.65968,                   1.13,               0.008185,               0.008185,               0.008185
                     58,                0.85643,                0.43097,                 1.1056,                0.82548,                  0.998,                0.83591,                0.67364,                0.84981,                 0.6585,                 1.1343,               0.008152,               0.008152,               0.008152
                     59,                0.86085,                0.42939,                 1.1083,                0.82537,                  0.998,                0.83044,                0.66862,                0.84872,                0.69275,                 1.1236,               0.008119,               0.008119,               0.008119
                     60,                0.85904,                0.42653,                 1.0985,                0.82477,                0.99833,                0.83962,                0.68346,                0.84658,                0.62802,                 1.1167,               0.008086,               0.008086,               0.008086
                     61,                0.84841,                 0.4219,                 1.0995,                0.82562,                  0.998,                0.83251,                 0.6708,                0.84549,                0.66123,                 1.1218,               0.008053,               0.008053,               0.008053
                     62,                0.83724,                 0.4132,                 1.0881,                0.82649,                  0.998,                 0.8493,                0.68693,                0.84918,                0.64365,                 1.1197,                0.00802,                0.00802,                0.00802
                     63,                0.84319,                0.41949,                 1.1025,                0.82781,                  0.998,                0.84822,                0.67995,                 0.8517,                0.67345,                 1.1383,               0.007987,               0.007987,               0.007987
                     64,                0.83854,                0.41648,                 1.1051,                0.82441,                  0.998,                 0.8444,                0.67927,                0.85839,                0.67399,                 1.1636,               0.007954,               0.007954,               0.007954
                     65,                0.84035,                0.42543,                 1.1136,                0.82563,                  0.998,                0.85089,                0.68613,                0.85474,                0.66324,                 1.1558,               0.007921,               0.007921,               0.007921
                     66,                0.84419,                0.41953,                 1.1002,                0.82652,                0.98133,                0.84252,                0.68588,                0.84288,                0.65954,                 1.1264,               0.007888,               0.007888,               0.007888
                     67,                0.84571,                0.41715,                 1.0974,                0.82391,                  0.998,                0.83771,                0.67882,                0.84048,                 0.6648,                 1.1237,               0.007855,               0.007855,               0.007855
                     68,                0.83463,                0.41452,                 1.0947,                0.82596,                  0.998,                0.83747,                0.68024,                0.83199,                0.65958,                 1.1149,               0.007822,               0.007822,               0.007822
                     69,                0.84067,                0.41249,                 1.0944,                0.82206,                  0.998,                0.83684,                0.67928,                0.85495,                0.64289,                 1.1354,               0.007789,               0.007789,               0.007789
                     70,                0.83938,                0.40737,                 1.0969,                0.82682,                  0.998,                0.84096,                0.68023,                0.84561,                0.66613,                  1.143,               0.007756,               0.007756,               0.007756
                     71,                0.82871,                0.40715,                 1.1024,                0.82531,                  0.998,                0.84496,                0.68327,                0.84957,                0.64854,                 1.1457,               0.007723,               0.007723,               0.007723
                     72,                0.82984,                0.40662,                 1.1027,                0.82419,                0.98133,                0.84614,                0.68261,                0.85386,                0.62836,                 1.1491,                0.00769,                0.00769,                0.00769
                     73,                 0.8354,                0.41462,                 1.0989,                0.82544,                0.98133,                0.84653,                0.68281,                 0.8369,                0.59778,                 1.1243,               0.007657,               0.007657,               0.007657
